販売名,成分名,規格,判定,判定根拠,レビュー理由
エヌジェンラ皮下注６０ｍｇペン,ソムアトロゴン（遺伝子組換え）,６０ｍｇ１．２ｍＬ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ヒト下垂体性性腺刺激ホルモン７５単位注射用,ヒト下垂体性性腺刺激ホルモン,７５単位１瓶（溶解液付）,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
ＨＭＧ注用７５単位「あすか」,ヒト下垂体性性腺刺激ホルモン,７５単位１瓶（溶解液付）,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
ヒト下垂体性性腺刺激ホルモン１５０単位注射用,ヒト下垂体性性腺刺激ホルモン,１５０単位１瓶（溶解液付）,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
ＨＭＧ注用１５０単位「あすか」,ヒト下垂体性性腺刺激ホルモン,１５０単位１瓶（溶解液付）,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
ＨＭＧ注射用７５単位「Ｆ」,ヒト下垂体性性腺刺激ホルモン,７５単位１管（溶解液付）,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
ＨＭＧ注射用１５０単位「Ｆ」,ヒト下垂体性性腺刺激ホルモン,１５０単位１管（溶解液付）,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
注射用ヒト絨毛性性腺刺激ホルモン,ヒト絨毛性性腺刺激ホルモン,５００単位１管,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
注射用ヒト絨毛性性腺刺激ホルモン,ヒト絨毛性性腺刺激ホルモン,１，０００単位１管,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
注射用ヒト絨毛性性腺刺激ホルモン,ヒト絨毛性性腺刺激ホルモン,３，０００単位１管,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
注射用ＨＣＧ３，０００単位「Ｆ」,ヒト絨毛性性腺刺激ホルモン,３，０００単位１管,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
注射用ヒト絨毛性性腺刺激ホルモン,ヒト絨毛性性腺刺激ホルモン,５，０００単位１管,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
注射用ＨＣＧ５，０００単位「Ｆ」,ヒト絨毛性性腺刺激ホルモン,５，０００単位１管,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
注射用ヒト絨毛性性腺刺激ホルモン,ヒト絨毛性性腺刺激ホルモン,１０，０００単位１管,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
注射用ＨＣＧ１０，０００単位「Ｆ」,ヒト絨毛性性腺刺激ホルモン,１０，０００単位１管,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
注射用ヒト絨毛性性腺刺激ホルモン,ヒト絨毛性性腺刺激ホルモン,１，０００単位１瓶,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
注射用ヒト絨毛性性腺刺激ホルモン,ヒト絨毛性性腺刺激ホルモン,３，０００単位１瓶,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
注射用ヒト絨毛性性腺刺激ホルモン,ヒト絨毛性性腺刺激ホルモン,５，０００単位１瓶,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
フォリルモンＰ注７５,精製下垂体性性腺刺激ホルモン,７５単位１管（溶解液付）,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
フォリルモンＰ注１５０,精製下垂体性性腺刺激ホルモン,１５０単位１管（溶解液付）,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
ｕＦＳＨ注用７５単位「あすか」,精製下垂体性性腺刺激ホルモン,７５単位１瓶（溶解液付）,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
ｕＦＳＨ注用１５０単位「あすか」,精製下垂体性性腺刺激ホルモン,１５０単位１瓶（溶解液付）,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,自動substring一致（要確認）
ゴナールエフ皮下注ペン４５０,ホリトロピンアルファ（遺伝子組換え）,４５０国際単位０．７５ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゴナールエフ皮下注ペン９００,ホリトロピンアルファ（遺伝子組換え）,９００国際単位１．５ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゴナールエフ皮下注ペン３００,ホリトロピンアルファ（遺伝子組換え）,３００国際単位０．５ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゴナールエフ皮下注ペン１５０,ホリトロピンアルファ（遺伝子組換え）,１５０国際単位０．２５ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
フォリスチム注３００ＩＵカートリッジ,フォリトロピン　ベータ（遺伝子組換え）,３００国際単位０．３６ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
フォリスチム注６００ＩＵカートリッジ,フォリトロピン　ベータ（遺伝子組換え）,６００国際単位０．７２ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
フォリスチム注９００ＩＵカートリッジ,フォリトロピン　ベータ（遺伝子組換え）,９００国際単位１．０８ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オビドレル皮下注シリンジ２５０μｇ,コリオゴナドトロピン　アルファ（遺伝子組換え）,２５０μｇ０．５ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
レコベル皮下注１２μｇペン,ホリトロピンデルタ（遺伝子組換え）,１２μｇ０．３６ｍＬ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
レコベル皮下注３６μｇペン,ホリトロピンデルタ（遺伝子組換え）,３６μｇ１．０８ｍＬ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
レコベル皮下注７２μｇペン,ホリトロピンデルタ（遺伝子組換え）,７２μｇ２．１６ｍＬ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オキシトシン注射液,オキシトシン,１単位１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オキシトシン注射液,オキシトシン,５単位１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アトニン－Ｏ注５単位,オキシトシン,５単位１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
バソプレシン注射液,バソプレシン,２０単位１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
デスモプレシン静注４μｇ「フェリング」,デスモプレシン酢酸塩水和物,４μｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
チラーヂンＳ静注液２００μｇ,レボチロキシンナトリウム水和物,２００μｇ１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
メルカゾール注１０ｍｇ,チアマゾール,１０ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
フォルテオ皮下注キット６００μｇ,テリパラチド（遺伝子組換え）,６００μｇ１キット,○,告示第十第一号 [テリパラチド製剤] マッチ規則:substring,自動substring一致（要確認）
テリボン皮下注用５６．５μｇ,テリパラチド酢酸塩,５６．５μｇ１瓶,○,告示第十第一号 [テリパラチド製剤] マッチ規則:substring,自動substring一致（要確認）
テリボン皮下注用５６．５μｇ,テリパラチド酢酸塩,５６．５μｇ１瓶（溶解液付）,○,告示第十第一号 [テリパラチド製剤] マッチ規則:substring,自動substring一致（要確認）
テリボン皮下注２８．２μｇオートインジェクター,テリパラチド酢酸塩,２８．２μｇ１キット,○,告示第十第一号 [テリパラチド製剤] マッチ規則:substring,自動substring一致（要確認）
テリパラチドＢＳ皮下注キット６００μｇ「モチダ」,テリパラチド（遺伝子組換え）［テリパラチド後続１］,６００μｇ１キット,○,告示第十第一号 [テリパラチド製剤] マッチ規則:substring,自動substring一致（要確認）
オスタバロ皮下注カートリッジ１．５ｍｇ,アバロパラチド酢酸塩,１．５ｍｇ０．７５ｍＬ１筒,○,告示第十第一号 [アバロパラチド酢酸塩製剤] マッチ規則:substring,自動substring一致（要確認）
ヨビパス皮下注１６８μｇペン,パロペグテリパラチド,１６８μｇ０．５６ｍＬ１キット,○,告示第十第一号 [パロペグテリパラチド製剤] マッチ規則:substring,自動substring一致（要確認）
ヨビパス皮下注２９４μｇペン,パロペグテリパラチド,２９４μｇ０．９８ｍＬ１キット,○,告示第十第一号 [パロペグテリパラチド製剤] マッチ規則:substring,自動substring一致（要確認）
ヨビパス皮下注４２０μｇペン,パロペグテリパラチド,４２０μｇ１．４ｍＬ１キット,○,告示第十第一号 [パロペグテリパラチド製剤] マッチ規則:substring,自動substring一致（要確認）
メテノロンエナント酸エステル注射液,メテノロンエナント酸エステル,１００ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アドレナリン注射液,アドレナリン,０．１％１ｍＬ１管,○,告示第十第一号 [アドレナリン製剤] マッチ規則:substring,自動substring一致（要確認）
ノルアドレナリン注射液,ノルアドレナリン,０．１％１ｍＬ１管,○,告示第十第一号 [ノルアドレナリン製剤] マッチ規則:substring,自動substring一致（要確認）
アドレナリン注０．１％シリンジ「テルモ」,アドレナリン,０．１％１ｍＬ１筒,○,告示第十第一号 [アドレナリン製剤] マッチ規則:substring,自動substring一致（要確認）
エピペン注射液０．１５ｍｇ,アドレナリン,０．１５ｍｇ１筒,○,告示第十第一号 [アドレナリン製剤] マッチ規則:substring,自動substring一致（要確認）
エピペン注射液０．３ｍｇ,アドレナリン,０．３ｍｇ１筒,○,告示第十第一号 [アドレナリン製剤] マッチ規則:substring,自動substring一致（要確認）
ソル・コーテフ注射用１００ｍｇ,ヒドロコルチゾンコハク酸エステルナトリウム,１００ｍｇ１瓶（溶解液付）,○,告示第十第一号 [ヒドロコルチゾンコハク酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
ソル・コーテフ静注用２５０ｍｇ,ヒドロコルチゾンコハク酸エステルナトリウム,２５０ｍｇ１瓶（溶解液付）,○,告示第十第一号 [ヒドロコルチゾンコハク酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
ソル・コーテフ静注用５００ｍｇ,ヒドロコルチゾンコハク酸エステルナトリウム,５００ｍｇ１瓶（溶解液付）,○,告示第十第一号 [ヒドロコルチゾンコハク酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
ヒドロコルチゾンリン酸エステルＮａ静注液１００ｍｇ「ＡＦＰ」,ヒドロコルチゾンリン酸エステルナトリウム,１００ｍｇ２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
水溶性ハイドロコートン注射液１００ｍｇ,ヒドロコルチゾンリン酸エステルナトリウム,１００ｍｇ２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
水溶性ハイドロコートン注射液５００ｍｇ,ヒドロコルチゾンリン酸エステルナトリウム,５００ｍｇ１０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ヒドロコルチゾンリン酸エステルＮａ静注液５００ｍｇ「ＡＦＰ」,ヒドロコルチゾンリン酸エステルナトリウム,５００ｍｇ１０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ケナコルト－Ａ皮内用関節腔内用水懸注５０ｍｇ／５ｍＬ,トリアムシノロンアセトニド,１０ｍｇ１ｍＬバイアル,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ケナコルト－Ａ筋注用関節腔内用水懸注４０ｍｇ／１ｍＬ,トリアムシノロンアセトニド,４０ｍｇ１ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リンデロン注２ｍｇ（０．４％）,ベタメタゾンリン酸エステルナトリウム,２ｍｇ１管,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
リノロサール注射液２ｍｇ（０．４％）,ベタメタゾンリン酸エステルナトリウム,２ｍｇ１管,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
リンデロン注４ｍｇ（０．４％）,ベタメタゾンリン酸エステルナトリウム,４ｍｇ１管,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
リノロサール注射液４ｍｇ（０．４％）,ベタメタゾンリン酸エステルナトリウム,４ｍｇ１管,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
リンデロン注２０ｍｇ（０．４％）,ベタメタゾンリン酸エステルナトリウム,２０ｍｇ１管,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
リノロサール注射液２０ｍｇ（０．４％）,ベタメタゾンリン酸エステルナトリウム,２０ｍｇ１管,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
リンデロン注２０ｍｇ（２％）,ベタメタゾンリン酸エステルナトリウム,２０ｍｇ１ｍＬ１管,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
リンデロン注１００ｍｇ（２％）,ベタメタゾンリン酸エステルナトリウム,１００ｍｇ５ｍＬ１管,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
デカドロン注射液１．６５ｍｇ,デキサメタゾンリン酸エステルナトリウム,１．６５ｍｇ０．５ｍＬ１管,○,告示第十第一号 [デキサメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
デキサート注射液１．６５ｍｇ,デキサメタゾンリン酸エステルナトリウム,１．６５ｍｇ０．５ｍＬ１管,○,告示第十第一号 [デキサメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
オルガドロン注射液１．９ｍｇ,デキサメタゾンリン酸エステルナトリウム,１．９ｍｇ０．５ｍＬ１管,○,告示第十第一号 [デキサメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
デカドロン注射液３．３ｍｇ,デキサメタゾンリン酸エステルナトリウム,３．３ｍｇ１ｍＬ１管,○,告示第十第一号 [デキサメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
デキサート注射液３．３ｍｇ,デキサメタゾンリン酸エステルナトリウム,３．３ｍｇ１ｍＬ１管,○,告示第十第一号 [デキサメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
オルガドロン注射液３．８ｍｇ,デキサメタゾンリン酸エステルナトリウム,３．８ｍｇ１ｍＬ１管,○,告示第十第一号 [デキサメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,自動substring一致（要確認）
